date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:05	186/186	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22186-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/CircleMarker.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/CircleMarker.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	5542/5542	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%225542-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	1139/1139	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221139-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Path.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Path.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	84/84	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%2284-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Map.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Map.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:06	506/506	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22506-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/FeatureGroup.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/FeatureGroup.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:06	794/794	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%22794-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.label.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.label.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:06	466/466	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%22466-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/Control.Coordinates.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/Control.Coordinates.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:06	60/60	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%2260-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/Control.Coordinates.ie.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/Control.Coordinates.ie.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:07	1245/1245	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221245-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/NumberFormatter.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/NumberFormatter.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:07	976/976	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%22976-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/modal.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/modal.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:07	7782/7782	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%227782-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Control.Coordinates.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Control.Coordinates.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:20	216929/216929	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22216929-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/leaflet-src.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/leaflet-src.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:21	96381/96381	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%2296381-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/jquery-1.11.0.min.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/jquery-1.11.0.min.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:21	6175/6175	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%226175-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/capas/centroidesEdo.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/capas/centroidesEdo.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:23	33139/33139	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%2233139-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:30	41309/41309	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%2241309-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/jquery.selectBox.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/jquery.selectBox.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:30	4957/4957	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%224957-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery.selectBox.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/jquery.selectBox.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:30	414/414	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%22414-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/Control.area.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/Control.area.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:05	208527/208527	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22208527-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/layout2/jquery.layout-latest2.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/layout2/jquery.layout-latest2.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:06	2582/2582	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%222582-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Leaflet.singletilewms.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Leaflet.singletilewms.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:24	471773/471773	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22471773-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/capas/estados.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/capas/estados.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:25	116373/116373	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22116373-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/leaflet-omnivore.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/leaflet-omnivore.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:25	2479/2479	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%222479-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/easy-button.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/easy-button.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:27	17764/17764	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%2217764-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/jquery.fileDownload.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/jquery.fileDownload.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:29	497447/497447	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22497447-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/capas/caneva150k.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/capas/caneva150k.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:31	30541/30541	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%2230541-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/funciones.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/funciones.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:31	246/246	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22246-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/images/sprite01.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/images/sprite01.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:31	350/350	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22350-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/images/sprite02.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/images/sprite02.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:31	172/172	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22172-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/images/sprite03.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/images/sprite03.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:32	29603/29603	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%2229603-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/init.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/init.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:32	244/244	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22244-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/images/02.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/images/02.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:32	273/273	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22273-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/images/01.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/images/01.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
